start values, python addition, python multiplication
7.69478526514e+23,1.53895705303e+24,5.92097202766e+47,0101111001000101
1.26865561401e+24,2.53731122802e+24,1.60948706696e+48,0101111100001100
2.09165949601e+24,4.18331899203e+24,4.37503944726e+48,0101111110111010
3.44856350214e+24,6.89712700428e+24,1.18925902283e+49,0110000001101101
5.68571999934e+24,1.13714399987e+25,3.23274119108e+49,0110000100101100
9.37416750215e+24,1.87483350043e+25,8.78750163584e+49,0110000111110000
1.54553893559e+25,3.09107787118e+25,2.38869060142e+50,0110001010011001
2.5481629178e+25,5.09632583561e+25,6.49313425566e+50,0110001101010001
4.20121040379e+25,8.40242080758e+25,1.76501688569e+51,0110010000010110
6.92662495542e+25,1.38532499108e+26,4.7978133273e+51,0110010011001010
1.14200738982e+26,2.28401477963e+26,1.30418087839e+52,0110010101111001
1.88285187489e+26,3.76570374977e+26,3.54513118276e+52,0110011000110111
3.1042979357e+26,6.2085958714e+26,9.6366656736e+52,0110011100000000
5.11812203718e+26,1.02362440744e+27,2.61951731875e+53,0110011110100111
8.43835666874e+26,1.68767133375e+27,7.12058632689e+53,0110100001011101
1.39124981295e+27,2.7824996259e+27,1.93557604204e+54,0110100100011111
2.29378315947e+27,4.58756631894e+27,5.26144118267e+54,0110100111011010
3.78180908539e+27,7.56361817078e+27,1.43020799583e+55,0110101010000111
6.23514908081e+27,1.24702981616e+28,3.88770840599e+55,0110101101000010
1.02800229155e+28,2.0560045831e+28,1.05678871144e+56,0110110000001001
1.69488924441e+28,3.38977848882e+28,2.87264955082e+56,0110110010110110
2.79439994874e+28,5.58879989748e+28,7.80867107352e+56,0110110101101001
4.60718663433e+28,9.21437326866e+28,2.12261686836e+57,0110111000101001
7.59596660211e+28,1.51919332042e+29,5.76987086203e+57,0110111011101010
1.25236317084e+29,2.50472634168e+29,1.56841351168e+58,0110111110010100
2.06479779841e+29,4.12959559682e+29,4.26338994831e+58,0111000001001101
3.40427604993e+29,6.80855209986e+29,1.15890954241e+59,0111000100010010
